Substance,Label,n,rA,rB,rX,nA,nB,nX,xA,xB,xX,iA,iB,iX,vA,vB,vX,fold_2
Cs2BeCl4,0.0,1.0,1.78,0.45,1.81,1.0,2.0,-1.0,0.1542125,0.144986,0.263803,3.893905548,9.322699,12.96763,1.0,2.0,7.0,train
Ba2TiS4,0.0,1.0,1.47,0.605,1.84,2.0,4.0,-2.0,0.1586786,0.1233637,0.23596,5.211664,6.82812,10.36001,2.0,4.0,6.0,train
Ba2SiS4,0.0,1.0,1.47,0.4,1.84,2.0,4.0,-2.0,0.1586786,0.178503,0.23596,5.211664,8.151683,10.36001,2.0,4.0,6.0,train
Ba2SiO4,0.0,1.0,1.47,0.4,1.4,2.0,4.0,-2.0,0.1586786,0.178503,0.304575,5.211664,8.151683,13.618054,2.0,4.0,6.0,train
Ba2GeS4,0.0,1.0,1.47,0.53,1.84,2.0,4.0,-2.0,0.1586786,0.1895892,0.23596,5.211664,7.899435,10.36001,2.0,4.0,6.0,train
Ba2GeO4,0.0,1.0,1.47,0.53,1.4,2.0,4.0,-2.0,0.1586786,0.1895892,0.304575,5.211664,7.899435,13.618054,2.0,4.0,6.0,train
K2BeCl4,0.0,1.0,1.55,0.45,1.81,1.0,2.0,-1.0,0.0981896,0.144986,0.263803,4.34066354,9.322699,12.96763,1.0,2.0,7.0,train
Ca2GeS4,0.0,1.0,1.18,0.53,1.84,2.0,4.0,-2.0,0.1154119,0.1895892,0.23596,6.1131552,7.899435,10.36001,2.0,4.0,6.0,train
Cs2ZnI4,0.0,1.0,1.78,0.74,2.2,1.0,2.0,-1.0,0.1542125,0.1551518,0.2195175999999999,3.893905548,9.394199,10.45126,1.0,12.0,7.0,train
Rb2ZnBr4,0.0,1.0,1.63,0.74,1.96,1.0,2.0,-1.0,0.104686,0.1551518,0.2412578,4.177128,9.394199,11.81381,1.0,12.0,7.0,train
Rb2CoCl4,0.0,1.0,1.63,0.745,1.81,1.0,2.0,-1.0,0.104686,0.1432363,0.263803,4.177128,7.88101,12.96763,1.0,9.0,7.0,train
K2BaCl4,0.0,1.0,1.55,1.35,1.81,1.0,2.0,-1.0,0.0981896,0.1586786,0.263803,4.34066354,5.211664,12.96763,1.0,2.0,7.0,train
